Title,List_Name,PARAM n-value,PARAM regression,PARAM sensitivity,PARAM training period,HPI,Card_ID,Exchange,Industry,Key Parameters,Last 12 months,Maximum Stop Loss %,Min_Stoploss%,Number of trades,Parameter n_components,Parameter poly_degree,Parameter std_multiplier,Parameter train_window,Regression,Run Date,Score,Sector,Sensitivity,Ticker,Training Period,n-value,n_components,poly_degree,std_multiplier,train_window
DUI.AX Diversified United Investment Limited,Purchase T-1,2.0,2.0,2.33,189.0,6.964864933719069,69b33130f33ebb7dc3beccb8,ASX,Asset Management,,34.84082486873478,-5.575760879796828,,10,,,,,2,2026-03-13,6.964864933719069,Financial Services,2.33,DUI.AX,189,2,2.0,2.0,2.33,189.0
BXE.SI CDW Holding Limited,Purchase T-1,3.0,1.0,3.0,126.0,14.26668031844462,69b3314005d402fd238a5237,SES,Semiconductor Equipment & Materials,,nan,-4.032256544873774,,6,,,,,1,2026-03-13,14.26668031844462,Technology,3.0,BXE.SI,126,3,3.0,1.0,3.0,126.0
AOM.L ActiveOps Plc,Purchase T-1,2.0,3.0,1.33,126.0,35.56210465495223,69b331355fd79dfec9543af0,LSE,Software - Application,,180.5550314740993,-29.310344827586203,,22,,,,,3,2026-03-13,35.56210465495223,Technology,1.33,AOM.L,126,2,2.0,3.0,1.33,126.0
"ACT Enact Holdings, Inc.",Purchase T-1,2.0,3.0,1.66,126.0,34.2263048258055,69b3313a616d2903017d5c12,NMS,Insurance - Specialty,,78.48160816910834,-4.516412624276649,,20,,,,,3,2026-03-13,34.2263048258055,Financial Services,1.66,ACT,126,2,2.0,3.0,1.66,126.0
ACE.AX Acusensus Limited,Purchase T-1,3.0,1.0,1.33,252.0,16.817215026384243,69b3312fcb98b9c018eef16d,ASX,Software - Infrastructure,,136.1924970864335,-13.999998569488524,,4,,,,,1,2026-03-13,16.817215026384243,Technology,1.33,ACE.AX,252,3,3.0,1.0,1.33,252.0
5HV.SI Koh Brothers Eco Engineering Limited,Purchase T-1,4.0,3.0,1.66,504.0,23.58547312354625,69b331426d6b7797e848fdff,SES,Engineering & Construction,,52.60453357411234,-9.756098890644925,,6,,,,,3,2026-03-13,23.58547312354625,Industrials,1.66,5HV.SI,504,4,4.0,3.0,1.66,504.0
WRB W. R. Berkley Corporation,Purchase T-1,4.0,1.0,2.0,126.0,10.265419850526284,69b1e5751d23dcf0e190cffc,NYQ,N/A,,,,-19.27554526215195,"('# of trades', '')",4,1,2.0,126,,2026-03-12,10.265419850526284,N/A,,WRB,,,4.0,1.0,2.0,126.0
"WMK Weis Markets, Inc.",Purchase T-1,3.0,1.0,2.66,126.0,7.18775164179653,69b1e574dc2df424cf2f5eab,NYQ,N/A,,,,-15.367206449946124,"('# of trades', '')",3,1,2.66,126,,2026-03-12,7.18775164179653,N/A,,WMK,,,3.0,1.0,2.66,126.0
"TILE Interface, Inc.",Purchase T-1,4.0,1.0,1.66,252.0,11.667447942176416,69b1e571541c269ddc66edc7,NYQ,N/A,,,,-29.33462677340917,"('# of trades', '')",4,1,1.66,252,,2026-03-12,11.667447942176416,N/A,,TILE,,,4.0,1.0,1.66,252.0
SRC.L SigmaRoc plc,Purchase T-1,2.0,2.0,3.0,189.0,16.938120939055334,69b1e567ad00354942b00f0c,LSE,N/A,,,,-7.84313725490196,"('# of trades', '')",2,2,3.0,189,,2026-03-12,16.938120939055334,N/A,,SRC.L,,,2.0,2.0,3.0,189.0
5WJ.SI MoneyMax Financial Services Ltd.,Purchase T-1,3.0,3.0,3.0,189.0,96.51666464174886,69b1e585e89880b80c02d873,SES,N/A,,,,-14.28571989996638,"('# of trades', '')",3,3,3.0,189,,2026-03-12,96.51666464174886,N/A,,5WJ.SI,,,3.0,3.0,3.0,189.0
3323.HK China National Building Material Company Limited,Purchase T-1,3.0,2.0,2.33,189.0,7.51761170598041,69b1e564bf95ab714d71f3e7,HKG,N/A,,,,-29.20962665973937,"('# of trades', '')",3,2,2.33,189,,2026-03-12,7.51761170598041,N/A,,3323.HK,,,3.0,2.0,2.33,189.0
1083.HK TG SMART ENERGY,Purchase T-1,2.0,2.0,2.33,126.0,6.908572113497317,69b1e5666aeebfd67696542f,HKG,N/A,,,,-12.139925224952629,"('# of trades', '')",2,2,2.33,126,,2026-03-12,6.908572113497317,N/A,,1083.HK,,,2.0,2.0,2.33,126.0
